"","TRACTCE","NatWalkInd_weighted"
"141","48201251502",6.18947276258501
"142","48201251503",5.66666666666667
"143","48201251600",3.6216862568845
"144","48201251700",6.1056536820169
"145","48201251800",4.66666666666667
"146","48201251901",4.68364363029129
"147","48201251902",6.30382059794707
"148","48201252000",6.49999999966667
"149","48201252100",5.83333333366667
"150","48201252200",9.09434855798976
"151","48201252301",6.11416057848982
"152","48201252302",5.74762534306737
"153","48201252400",6.85147065873202
"154","48201252500",5.85163623532822
"155","48201252600",6.71019095812661
"156","48201252700",7.01186753242058
"157","48201252800",3.89439063163746
"158","48201252900",6.54056110908071
"159","48201253000",4.06899641575045
"160","48201253100",6.67441689452646
"161","48201253200",5.77898207748605
"162","48201253300",5.90356602351059
"163","48201253400",5.99999999966667
"164","48201253500",7.90495784811458
"165","48201253600",7.40664504905917
"166","48201253700",9.7882076021472
"167","48201253800",6.16234448226373
"168","48201253900",7.45685158828118
"169","48201254000",5.51134358447735
"170","48201254100",9.71389147174574
"171","48201254200",9.08532272417709
"172","48201254300",10.3024005618923
"173","48201254400",8.11100044260026
"174","48201254500",6.56022788897757
"175","48201254600",6.30779647926852
"176","48201254700",6.83333333366667
"177","48201310100",10.714285717619
"178","48201310200",11.4999999966667
"179","48201310300",8.47365713260616
"180","48201310400",8.36812980577002
"181","48201310500",8.80977738201908
"182","48201310600",7.96538418152537
"183","48201310700",11.1666666649241
"184","48201310800",8.52470557963901
"185","48201310900",9.13312664349117
"186","48201311000",8.49001349609609
"187","48201311100",8.56424355475676
"188","48201311200",9.87251281928889
"189","48201311300",8.76910126910127
"190","48201311400",10.8333333333333
"191","48201311500",8.68059105765371
"192","48201311600",7.02167807561787
"193","48201311700",11.3159840708561
"194","48201311800",8.55061590023285
"195","48201311900",8.24589743449897
"196","48201312000",7.36886072423744
"197","48201312100",9.99999999666667
"198","48201312200",8.37054611881452
"199","48201312300",8.27103132699754
"200","48201312400",8.78654309825196
"201","48201312500",11.2785964878947
"202","48201312600",10.6619370890061
"203","48201312700",7.33794355899134
"204","48201312800",8.60249270885044
"205","48201312900",7.44662688433035
"206","48201313000",8.07548982044564
"207","48201313100",9.36909107865394
"208","48201313200",8.46814093232883
"209","48201313300",7.20390070799509
"210","48201313400",10.2318633680996
"211","48201313500",9.31283484974377
"212","48201313600",8.61987734373232
"213","48201313700",9.64172185301545
"214","48201313800",7.94096857854503
"215","48201313900",6.75611184467772
"216","48201314001",8.03060011623173
"217","48201314002",8.68002305466897
"218","48201314300",10.5903119841317
"219","48201314400",8.58982743166031
"220","48201320100",7.04228679230451
"221","48201320200",7.09360730406873
"222","48201320500",6.25965103932025
"223","48201320601",10.1666666666667
"224","48201320602",8.70679075847294
"225","48201320700",7.1465420163235
"226","48201320800",10.3104347834667
"227","48201320900",8.26265126503672
"228","48201321000",8.73617387649795
"229","48201321100",10.2384308203142
"230","48201321200",9.36940663842274
"231","48201321300",7.14727588969459
"232","48201321401",9.71706949730726
"233","48201321402",7.74162498114688
"234","48201321500",10.6666666666667
"235","48201321600",7.37314194122554
"236","48201321700",7.64393710307328
"237","48201321800",7.45492122721572
"238","48201321900",8.44968325864374
"239","48201322000",7.45412225874274
"240","48201322100",10.0428033852838
"241","48201322200",8.83333333366667
"242","48201322600",7.08165858175052
"243","48201322700",6.31968152873227
"244","48201322800",8.63922012499738
"245","48201322900",8.00113293029355
"246","48201323000",10.4224602533429
"247","48201323100",8.60376612924502
"248","48201323200",7.98411879476849
"249","48201323300",10.7184134508169
"250","48201323400",8.02101223827015
"251","48201323500",7.88106124761552
"252","48201323600",8.32273172396849
"253","48201323701",8.90359585274123
"254","48201323702",8.73859142680485
"255","48201323801",9.41738864093813
"256","48201323802",8.7956450542482
"257","48201323900",6.32408069274243
"258","48201324000",10.410608309825
"259","48201324100",8.54195256997887
"260","48201324200",5.83333333333333
"261","48201330100",5.87158941062488
"262","48201330200",8.7526389832958
